month,key_point,original_nominations_kbd,accepted_nominations_kbd,apportionment_pct
2007-01,system,2194.7,,0.0000
2007-02,system,2240.4,,0.0000
2007-03,system,2257.6,,0.0000
2007-04,system,2146.6,,0.0000
2007-05,system,2040.9,,0.0000
2007-06,system,2053.0,,0.0000
2007-07,system,2040.1,,0.0000
2007-08,system,2072.4,,0.0000
2007-09,system,2138.9,,0.0000
2007-10,system,2172.9,,0.0000
2007-11,system,2303.7,,0.0700
2007-12,system,2393.5,,0.0000
2008-01,system,2341.6,,0.0000
2008-02,system,2482.7,,0.0300
2008-03,system,2268.4,,0.0000
2008-04,system,2067.3,,0.0000
2008-05,system,2207.0,,0.0000
2008-06,system,2262.9,,0.0000
2008-07,system,2149.1,,0.0000
2008-08,system,2153.4,,0.0000
2008-09,system,2075.1,,0.0000
2008-10,system,2272.1,,0.0000
2008-11,system,2309.4,,0.0000
2008-12,system,2458.0,,0.2400
2009-01,system,2343.6,,0.0600
2009-02,system,2162.3,,0.0600
2009-03,system,2141.6,,0.0000
2009-04,system,2119.7,,0.0000
2009-05,system,2236.6,,0.0000
2009-06,system,2372.1,,0.0000
2009-07,system,2329.5,,0.0000
2009-08,system,2292.2,,0.0000
2009-09,system,2321.2,,0.0000
2009-10,system,2269.3,,0.0000
2009-11,system,2381.0,,0.0000
2009-12,system,2372.1,,0.0000
2010-01,system,2351.5,,0.0000
2010-02,system,2245.7,,0.0000
2010-03,system,2296.2,,0.0000
2010-04,system,2351.2,,0.0000
2010-05,system,2429.5,,0.0000
2010-06,system,2475.3,,0.0000
2010-07,system,2471.5,,0.0400
2010-08,system,2301.2,,0.0000
2010-09,system,2289.5,,0.2300
2010-10,system,2335.1,,0.3100
2010-11,system,2557.7,,0.0900
2010-12,system,2797.7,,0.2700
2011-01,system,2803.9,,0.4300
2011-02,system,2608.9,,0.1600
2011-03,system,2370.8,,0.1400
2011-04,system,2261.9,,0.1700
2011-05,system,2289.2,,0.1000
2011-06,system,2379.4,,0.2300
2011-07,system,,,0.2500
2011-08,system,2438.3,,0.2100
2011-09,system,2504.5,,0.2100
2011-10,system,2547.5,,0.0400
2011-11,system,2622.7,,0.0800
2011-12,system,2686.6,,0.2300
2012-01,system,2789.0,,0.2200
2012-02,system,2870.1,,0.1800
2012-03,system,2853.9,,0.2700
2012-04,system,2879.6,,0.1900
2012-05,system,2577.8,,0.1600
2012-06,system,2730.8,,0.1700
2012-07,system,2806.4,,0.2600
2012-08,system,2613.9,,0.0000
2012-09,system,2568.4,,0.2000
2012-10,system,2609.0,,0.0800
2012-11,system,2697.3,,0.1500
2012-12,system,2959.9,,0.1300
2013-01,system,2864.4,,0.1000
2013-02,system,2846.8,,0.0700
2013-03,system,2595.2,,0.3700
2013-04,system,2467.3,,0.1100
2013-05,system,2598.2,,0.1700
2013-06,system,2743.2,,0.3200
2013-07,system,2726.4,,0.2700
2013-08,system,2860.2,,0.2500
2013-09,system,2883.5,,0.2800
2013-10,system,2959.5,,0.1200
2013-11,system,3213.1,,0.1500
2013-12,system,3085.6,,0.1000
2014-01,system,3077.7,,0.1700
2014-02,system,3059.3,,0.1300
2014-03,system,3011.5,,0.1000
2014-04,system,2968.8,,0.0300
2014-05,system,3017.0,,0.1100
2014-06,system,3283.0,,0.1600
2014-07,system,3407.3,,0.3400
2014-08,system,3396.1,,0.1700
2014-09,system,3309.2,,0.2500
2014-10,system,3581.6,,0.3300
2014-11,system,4127.3,,0.4300
2014-12,system,4224.2,,0.4100
2015-01,Edmonton,4189.7,,0.0500
2015-01,Kerrobert,4189.7,,0.3000
2015-01,Superior,4189.7,,0.3600
2015-01,system,4189.7,,0.4100
2015-02,Cromer,4363.4,,0.0600
2015-02,Edmonton,4363.4,,0.0600
2015-02,Kerrobert,4363.4,,0.3600
2015-02,Superior,4363.4,,0.4000
2015-02,system,4363.4,,0.4600
2015-03,Edmonton,4377.7,,0.4600
2015-03,Kerrobert,4377.7,,0.3300
2015-03,Superior,4377.7,,0.1200
2015-03,system,4377.7,,0.4600
2015-04,Regina,4273.7,,0.4200
2015-04,Superior,4273.7,,0.4500
2015-04,system,4273.7,,0.4200
2015-05,Kerrobert,4005.6,,0.4200
2015-05,Superior,4005.6,,0.0700
2015-05,system,4005.6,,0.4200
2015-06,Kerrobert,3842.5,,0.4200
2015-06,system,3842.5,,0.4200
2015-07,Kerrobert,3852.0,,0.3100
2015-07,system,3852.0,,0.3100
2015-08,Kerrobert,3913.7,,0.2600
2015-08,system,3913.7,,0.2900
2015-09,Kerrobert,3580.0,,0.1600
2015-09,system,3580.0,,0.1600
2015-10,Cromer,3504.5,,0.0300
2015-10,Flanagan,3504.5,,0.1900
2015-10,Superior,3504.5,,0.1900
2015-10,Westover,3504.5,,0.1800
2015-10,system,3504.5,,0.0300
2015-11,Cromer,3834.2,,0.2400
2015-11,Kerrobert,3834.2,,0.1600
2015-11,Westover,3834.2,,0.1700
2015-11,system,3834.2,,0.1600
2015-12,Cromer,3897.7,,0.0900
2015-12,Kerrobert,3897.7,,0.1900
2015-12,Superior,3897.7,,0.1900
2015-12,system,3897.7,,0.1900
2016-01,Clearbrook - Line 2/3,861.0,,0.0300
2016-01,Kerrobert - Line 4/67,1913.4,,0.1600
2016-01,system,4038.3,3706.3,
2016-02,Kerrobert - Line 4/67,1870.3,,0.1400
2016-02,Westover - Line 10,74.2,,0.1000
2016-02,system,3873.6,3607.8,
2016-03,Kerrobert - Line 4/67,1600.4,,0.0200
2016-03,Westover - Line 10,74.2,,0.1100
2016-03,system,3509.5,3469.9,
2016-04,Westover - Line 10,74.3,,0.0600
2016-04,system,3200.6,3196.1,
2016-05,Kerrobert - Line 4/67,1699.4,,0.0600
2016-05,Westover - Line 10,74.2,,0.1100
2016-05,system,3559.5,3449.5,
2016-06,Kerrobert - Line 4/67,1717.6,,0.0700
2016-06,Westover - Line 10,74.2,,0.0700
2016-06,system,3608.8,3486.1,
2016-07,Kerrobert - Line 4/67,1744.5,,0.0400
2016-07,Westover - Line 10,74.2,,0.1700
2016-07,system,3394.8,3313.9,
2016-08,Kerrobert - Line 4/67,1800.2,,0.1500
