month,band,heavy_kbd,light_kbd,medium_kbd,synthetic_sco_kbd,vintage
2025-08,act,2390.2,407.0,73.6,1359.0,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-09,act,2428.7,401.5,74.2,1308.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-10,act,2290.7,412.9,73.5,1358.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-11,act,2406.0,438.3,72.2,1482.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2025-12,act,2515.2,428.3,67.4,1393.3,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-01,act,2400.4,412.6,71.9,1327.2,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-02,act,2364.7,414.9,73.2,1297.3,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-03,act,2397.1,417.2,73.1,1280.5,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-04,act,2287.7,432.0,70.2,1359.8,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-05,act,2265.9,420.9,69.6,1236.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-06,act,2317.3,423.4,68.6,1315.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-07,act,2470.1,419.6,68.5,1440.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-08,nc,2257.1,432.0,69.5,1439.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-09,nc,2327.0,425.3,68.3,995.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-10,fc,2420.4,444.1,67.5,1189.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-11,fc,2439.1,460.1,65.9,1522.9,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2026-12,fc,2492.1,459.6,63.4,1529.5,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-01,fc,2319.6,403.7,70.4,1399.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-02,fc,2315.1,411.8,71.5,1425.4,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-03,fc,2389.3,421.5,74.0,1433.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-04,fc,2279.4,427.4,74.0,1281.8,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-05,fc,2304.5,406.3,71.2,1099.6,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-06,fc,2400.7,406.7,68.2,1279.7,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-07,fc,2423.4,419.5,69.1,1476.1,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-08,fc,2384.7,432.0,69.5,1475.2,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-09,fc,2444.4,425.3,68.3,1309.0,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-10,fc,2487.4,444.1,67.5,1336.8,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-11,fc,2501.1,460.1,65.9,1534.2,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
2027-12,fc,2537.3,459.6,63.4,1535.8,AER ST3 actuals through 2026-07 (pulled 2026-09-22); Aug-Sep 2026 nowcast estimated; forecast model build 2026-09-22
