month,band,supply_total,in_situ,mined_grp,conv,diluent,ab_use,removals_from_alberta,maint,total_receipts,losses_ffl,adjustments,aer_plug,stor_chg
2025-08,act,4229.8,1961.6,1622.2,646.0,308.2,599.9,4447.5,,995.7,146.3,-63.8,9.5,
2025-09,act,4212.8,1927.9,1642.7,642.2,265.2,545.7,4279.5,,953.5,147.3,-74.0,48.6,
2025-10,act,4135.8,1972.4,1511.9,651.5,269.3,568.2,4364.0,,985.6,143.0,-70.4,34.7,
2025-11,act,4399.1,2015.1,1705.4,678.6,265.8,618.0,4545.7,,1042.3,153.4,-78.5,23.1,
2025-12,act,4404.2,1993.3,1752.3,658.6,287.1,613.7,4553.6,,1055.5,154.2,-81.2,20.4,
2026-01,act,4212.1,2010.4,1544.0,657.7,384.0,597.2,4393.1,,1137.2,146.6,12.8,101.3,
2026-02,act,4150.1,2023.5,1464.0,662.6,395.8,609.8,4346.3,,1131.4,146.2,-2.7,204.1,
2026-03,act,4167.9,2019.7,1481.4,666.8,390.1,617.2,4400.2,,1135.7,143.5,-3.8,193.7,
2026-04,act,4149.7,1968.8,1504.0,676.9,363.8,523.4,4462.5,,1076.4,144.2,7.0,109.0,
2026-05,act,3992.8,1856.3,1475.3,661.2,339.4,541.5,4348.0,,1038.7,140.8,-8.0,150.1,
2026-06,act,4125.0,1980.1,1482.0,662.9,307.0,622.4,4219.2,,1033.3,151.2,-0.7,120.6,
2026-07,act,4398.3,2085.6,1652.5,660.2,283.4,610.8,4541.6,,1025.1,161.2,3.6,131.4,
2026-08,nc,4197.7,1890.3,1632.0,675.4,286.0,619.9,4535.8,32.8,1016.5,154.7,-22.8,95.5,-214.5
2026-09,nc,3816.3,1825.5,1323.2,667.6,284.9,566.9,4451.3,310.0,991.4,153.0,-30.1,95.5,-489.1
2026-10,fc,4121.1,1996.7,1438.3,686.1,308.6,581.1,4439.1,164.4,1055.5,152.5,-31.3,95.5,-122.9
2026-11,fc,4488.0,2044.6,1742.5,700.9,309.7,620.8,4624.6,23.0,1099.4,159.6,-30.4,95.5,56.5
2026-12,fc,4544.6,2064.2,1784.8,695.6,326.2,625.3,4700.3,3.0,1120.4,161.3,-35.0,95.5,47.6
2027-01,fc,4192.8,2011.1,1535.7,646.0,341.7,590.9,4357.2,0.0,1095.0,144.3,-90.1,95.5,9.8
2027-02,fc,4223.8,2017.6,1546.8,659.4,333.2,612.1,4434.1,0.0,1075.9,144.8,-13.1,95.5,0.1
2027-03,fc,4317.9,2027.5,1618.1,672.3,325.7,605.6,4391.3,0.0,1084.4,147.8,-15.0,95.5,147.1
2027-04,fc,4062.6,1934.2,1452.7,675.7,350.0,539.3,4182.9,26.0,1071.5,142.9,-13.0,95.5,160.5
2027-05,fc,3881.6,1973.6,1256.7,651.3,337.6,526.4,4116.5,0.0,997.2,135.0,-21.4,95.5,-16.0
2027-06,fc,4155.3,2000.4,1505.8,649.1,328.5,578.5,4372.4,0.0,1000.2,143.7,-33.8,95.5,-68.4
2027-07,fc,4388.1,2038.0,1687.8,662.3,317.1,619.2,4431.6,0.0,1023.6,148.0,-21.4,95.5,96.0
2027-08,fc,4361.4,2017.9,1668.1,675.4,286.0,610.3,4467.2,0.0,1006.0,150.0,-23.9,95.5,20.5
2027-09,fc,4247.0,1942.9,1636.5,667.6,284.9,558.2,4384.0,12.0,981.2,148.2,-31.5,95.5,10.8
2027-10,fc,4335.8,2063.7,1586.0,686.1,308.6,581.1,4439.1,0.0,1055.5,152.5,-31.3,95.5,91.8
2027-11,fc,4561.3,2091.6,1768.8,700.9,309.7,620.8,4624.6,0.0,1099.4,159.6,-30.4,95.5,129.8
2027-12,fc,4596.1,2109.4,1791.1,695.6,326.2,625.3,4700.3,0.0,1120.4,161.3,-35.0,95.5,99.1
