month,band,grade_conv_light,grade_conv_sour,grade_conv_heavy,grade_sco,grade_dilbit,grade_total
2025-08,act,407.0,73.6,165.4,1359.0,2224.8,4229.8
2025-09,act,401.5,74.2,166.5,1308.4,2262.2,4212.8
2025-10,act,412.9,73.5,165.1,1358.7,2125.6,4135.8
2025-11,act,438.3,72.2,168.1,1482.6,2237.9,4399.1
2025-12,act,428.3,67.4,162.9,1393.3,2352.3,4404.2
2026-01,act,412.6,71.9,173.2,1327.2,2227.2,4212.1
2026-02,act,414.9,73.2,174.5,1297.3,2190.2,4150.1
2026-03,act,417.2,73.1,176.5,1280.5,2220.6,4167.9
2026-04,act,432.0,70.2,174.7,1359.8,2113.0,4149.7
2026-05,act,420.9,69.6,170.7,1236.4,2095.2,3992.8
2026-06,act,423.4,68.6,170.9,1315.7,2146.4,4125.0
2026-07,act,419.6,68.5,172.1,1440.1,2298.0,4398.3
2026-08,nc,432.0,69.5,173.9,1439.1,2083.2,4197.7
2026-09,nc,425.3,68.3,174.0,995.7,2153.0,3816.3
2026-10,fc,444.1,67.5,174.5,1189.1,2245.9,4121.1
2026-11,fc,460.1,65.9,174.9,1522.9,2264.2,4488.0
2026-12,fc,459.6,63.4,172.6,1529.5,2319.5,4544.6
2027-01,fc,403.7,70.4,171.9,1399.1,2147.7,4192.8
2027-02,fc,411.8,71.5,176.1,1425.4,2139.0,4223.8
2027-03,fc,421.5,74.0,176.8,1433.1,2212.5,4317.9
2027-04,fc,427.4,74.0,174.3,1281.8,2105.1,4062.6
2027-05,fc,406.3,71.2,173.8,1099.6,2130.7,3881.6
2027-06,fc,406.7,68.2,174.2,1279.7,2226.5,4155.3
2027-07,fc,419.5,69.1,173.7,1476.1,2249.7,4388.1
2027-08,fc,432.0,69.5,173.9,1475.2,2210.8,4361.4
2027-09,fc,425.3,68.3,174.0,1309.0,2270.4,4247.0
2027-10,fc,444.1,67.5,174.5,1336.8,2312.9,4335.8
2027-11,fc,460.1,65.9,174.9,1534.2,2326.2,4561.3
2027-12,fc,459.6,63.4,172.6,1535.8,2364.7,4596.1
